parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
0.37527037,-0.9596578,-1.6905608,-2.3635092,-1.5730977,-0.60259426,0.41115847,-0.31755096,-0.8494181,0.48333007
0.497078,-0.9673982,-1.2140889,-1.9965205,-1.582042,-0.5406854,0.27763993,-0.134492,-0.56632483,0.7848708
1.0489413,-0.89606535,-2.0747628,-2.1043918,-1.4345976,-0.4812034,-0.046235267,-0.08820502,0.19965415,0.65954155
0.4063487,-1.8707421,-2.9490745,-3.052366,-1.742626,-0.54727936,0.08531339,-0.2567762,-0.09967465,0.09091567
0.563916,-1.135623,-1.812728,-2.3365269,-1.7429421,-0.8715082,0.0637382,-0.12764414,0.23547159,0.12841606
0.85167533,-1.0836759,-1.6753348,-2.159375,-1.600159,-0.13456948,0.74217004,0.3076792,-0.2173089,0.304498
0.87064,-0.7684099,-1.8108907,-2.2729764,-1.6906989,-0.4319111,0.39659926,-0.044614967,-0.5221186,-0.1263381
0.9512111,-1.3140252,-1.8988128,-2.4045136,-1.942497,-0.6035369,0.7741427,-0.13253933,-0.19721138,0.331646
0.8651522,-1.2285975,-2.3009958,-2.4188726,-1.5640466,-0.7790386,0.5035251,-0.32358956,-0.4713223,0.4370346
0.8086562,-0.44373918,-1.7259196,-1.8169147,-1.2590207,-0.2789189,0.021992095,-0.20562693,-0.19286132,0.4046915
0.99015415,-1.7455558,-2.4110096,-2.92795,-1.2782481,-0.5043138,0.071015745,-0.1570672,-0.22976163,0.4877407
0.9078809,-0.815292,-1.735506,-2.182087,-0.8587204,-0.19834274,0.20474882,-0.15470643,0.111657314,0.6272376
1.4933769,-1.3633456,-2.0722528,-2.5325375,-1.8167379,-0.1729181,0.18124078,-0.6461275,-0.8302613,1.0554504
1.6586239,-0.9938574,-2.410315,-3.039006,-2.1870265,-0.41165385,0.39502755,0.02052336,-0.18124777,0.5885053
0.75089526,-1.3553083,-2.2765975,-2.9893427,-1.429882,-0.17014317,0.3361365,-0.9923779,-0.60174674,0.7210433
0.39360195,-0.8252415,-2.1017816,-2.3147974,-1.3864096,-0.50661254,0.5934288,-0.61810213,-0.35652262,0.81922287
0.27932397,-1.2367934,-2.419581,-2.9661264,-2.2475004,-0.4834211,0.39092904,0.16883166,-0.30816242,0.73330593
0.6164501,-0.69996446,-2.1199524,-2.6494696,-1.499621,-0.32529318,0.24016891,0.13989207,0.37514526,0.5152915
0.022526646,-1.4612017,-2.175894,-2.3598576,-1.6109513,-0.39991295,0.3762536,0.08772052,-0.24225709,0.70454496
1.4446466,-1.0188274,-2.2026844,-2.007187,-1.7101301,-0.68229955,0.6334854,0.056131344,-0.19128533,0.71493435
0.8375083,-1.5774164,-2.1432574,-2.1401112,-1.121688,0.23905577,0.3509193,-0.1255354,0.11298021,0.18484189
0.8313645,-1.3082218,-2.0246077,-2.0763936,-1.8696918,-0.65597165,0.18715449,-0.49942595,-0.28853098,0.30422124
1.0359361,-1.8819823,-2.7094443,-2.6299906,-1.809728,-0.43318057,0.6456366,0.075562246,0.14925943,0.10718726
0.71282035,-1.436126,-1.9403054,-2.845974,-1.5041268,0.34360242,0.62028074,-0.32915255,-0.14596735,0.6279773
1.5995585,-1.491329,-3.3239694,-2.743961,-1.8268213,0.17693232,1.1967326,0.55397385,0.45319825,0.50659615
0.6296613,-1.218429,-2.2931516,-2.1783485,-1.6045092,-0.40895393,0.46091977,0.055239573,0.19643058,0.3114648
0.6042164,-0.9545199,-2.3052487,-2.945538,-1.3374485,0.16057809,1.046789,-0.17733152,-0.4580833,0.05142384
0.59367526,-1.2433945,-1.8627448,-1.9472587,-1.2108644,-0.5028849,0.24482667,-0.32114923,-0.18583556,0.66099703
0.6688124,-0.9861819,-1.8151042,-1.8411858,-1.4606663,-0.47565776,0.4431229,0.15190947,-0.55182505,0.30102524
0.30579734,-1.248634,-2.191027,-2.9408946,-1.6467745,-0.7670627,0.50523967,0.19894402,0.6011353,0.24802849
1.0842216,-0.9516057,-2.0438557,-2.2926557,-1.0723516,-0.29891762,0.3244243,0.24431062,-0.7938659,0.12089815
0.7916788,-0.9307149,-1.7589222,-1.8217223,-1.0964035,0.07326602,0.63447905,0.08297564,-0.09376327,0.24005723
0.6292212,-1.3681906,-2.0586069,-2.4561377,-2.3142648,-0.6551867,0.8569656,-0.16470301,0.007145953,0.79447925
0.19039711,-1.0533007,-1.9483966,-1.7323866,-1.0266366,-0.31053007,0.7029164,0.2594225,-0.24058071,0.3651767
0.973477,-0.87080115,-1.8480166,-2.419392,-1.6399207,-0.65739,0.49279723,-0.08747049,-0.11449005,0.18799455
0.37384242,-1.0261712,-2.015796,-2.1175795,-1.0586665,-0.05044304,0.62879986,-0.28027692,-0.049303375,0.62329304
0.22712299,-0.70844805,-2.0806131,-2.167263,-1.5334967,-0.23083827,0.5487142,-0.26319596,0.23490828,0.57907695
0.887399,-1.7650361,-2.282131,-2.024104,-1.1114793,0.007967295,0.9527584,-0.044178337,-0.8783899,-0.055933386
0.64569277,-1.3619161,-2.5825167,-2.264004,-1.1970471,-0.63844913,0.40707833,-0.783179,-0.51064473,0.1746101
1.1325226,-1.3692797,-2.6476183,-2.889287,-1.9371288,-0.09943949,0.7008718,-0.25322035,-0.40518403,1.0868016
0.80541503,-0.4939197,-1.4682033,-1.7502192,-1.1786914,-0.49223417,0.020156441,-0.5662525,-0.3716217,0.18415348
0.41035923,-0.82697535,-2.019795,-2.1280634,-1.8420622,-0.052408673,0.312181,-0.25293717,-0.46006048,0.6139039
1.1989188,-0.6460516,-2.133763,-2.829258,-1.8444945,-0.27884895,0.87420046,0.03682067,-0.41259694,0.874029
0.9185738,-0.99986774,-2.6306226,-2.8398712,-2.0348895,-0.39970806,0.610746,0.2419682,0.038645722,0.76628435
1.006513,-0.86196697,-1.4291534,-1.5615073,-1.1013795,0.100710794,0.6024101,-0.04565281,0.09379189,0.34302172
0.7873875,-1.8300897,-2.3795187,-2.222035,-0.85224706,0.48368707,0.9931442,-0.1400462,-0.16207643,-0.042574406
0.23388883,-0.64071965,-2.2246258,-3.0476875,-2.2620652,-0.70481163,-0.32722208,-0.055114593,-0.08961776,-0.5850404
1.1793344,-1.2891496,-2.3483071,-2.977163,-1.7529972,-0.4651596,0.14897336,0.28481716,0.15358216,0.38149703
0.2553966,-0.7339801,-2.1792023,-2.8611472,-1.9946989,-0.4399866,0.65216625,-0.029116843,-0.006478724,0.5143161
0.5725541,-1.074427,-2.6960542,-2.7078907,-1.8040222,-0.318261,0.03402956,-0.29180163,-0.15004404,0.4156771
0.7595488,-1.0309883,-2.715811,-2.6312013,-1.2983176,-0.045443855,0.7428906,-0.11260719,0.22762612,0.32662833
1.0567327,-1.1826308,-1.775652,-1.5463445,-1.1080714,-0.19412054,0.27102852,-0.49913236,-0.391615,0.5431883
0.3655298,-0.8036403,-1.5961314,-1.7052981,-1.4043014,-0.5948194,0.22606306,-0.083582684,-0.82123625,0.08105014
0.8698848,-1.3107425,-1.789956,-2.0312946,-1.4832115,-0.13299881,0.3099595,-0.57334983,-0.08158355,0.7514278
1.2261682,-1.2274165,-1.8804626,-2.5466015,-1.8347257,-0.53378034,0.5479106,0.09341999,0.28721172,0.46533424
0.75598305,-0.94819957,-2.4086053,-2.497627,-1.1350927,0.028428651,0.57484746,0.3037177,-0.21002054,0.47839126
0.99016863,-1.0580549,-1.6788669,-2.0244358,-1.0540607,-0.19285983,0.4019636,0.008619571,-0.16972017,0.22578381
0.9739757,-1.2030227,-2.267617,-2.0828555,-1.289199,-0.4509372,0.62179434,0.052648984,-0.49809676,-0.1911681
0.95572263,-1.2506618,-2.029135,-1.9586719,-1.545103,-0.08257813,0.46973288,-0.50912553,0.067371614,0.2554778
0.48592177,-0.9028627,-1.6374714,-1.9034818,-1.0594434,-0.70258075,0.29133227,0.15287934,-0.38100612,0.5259489
0.6644366,-0.73945975,-1.971061,-2.3870327,-1.4405206,-0.7235464,-0.5725443,-0.81883085,-0.5692233,0.27515513
1.3318582,-0.8271758,-2.4633775,-2.3007886,-1.2776681,-0.67621607,0.21752742,-0.10727882,-0.024001716,0.62581164
1.38272,-1.4312079,-3.161759,-2.754501,-1.492118,-0.5734521,0.46434718,-0.21793245,-0.6381764,0.60285133
0.45538145,-0.3977431,-1.5149575,-1.6607983,-0.7312854,-0.30919763,-0.4891844,-0.80213916,0.0059451303,0.31101942
0.47853217,-1.0253658,-1.4922748,-1.5569359,-1.0166303,0.2871,-0.21548496,-0.2913054,-0.077150546,0.663905
0.35886967,-1.0864526,-1.9096665,-2.6751864,-1.7693607,-0.5943782,0.25578633,0.29814485,-0.17937067,0.2569877
1.24479,-0.67863315,-1.8216481,-2.3541234,-1.4907588,-0.27141294,0.64646167,-0.41062054,-0.1117947,0.7039978
0.33151236,-1.0216248,-2.4334307,-3.1716938,-1.8398552,-0.13877252,0.40481156,-0.18960544,0.15760753,0.62007666
0.6568437,-0.69655013,-1.9511967,-2.8674667,-1.9413732,-0.44133076,0.3117682,-0.564618,-0.6217464,0.7338167
0.5836808,-0.776004,-1.8002223,-2.17056,-1.9729751,0.056825235,0.9928313,0.36375985,-0.06893834,0.26486012
1.0232706,-0.9069714,-1.833775,-2.1986988,-1.6264886,-0.32452467,0.40495202,0.60540754,0.13526168,0.39956915
1.2629051,-1.5831771,-2.4675858,-2.09121,-1.6801698,-0.2113363,0.30473813,-0.3657452,-0.66450924,0.27737418
0.75389105,-1.2289428,-1.845763,-2.399831,-1.195272,0.004905885,0.8351404,-0.061011195,-0.30014434,0.24328798
1.0078305,-0.6977458,-1.3358973,-2.306551,-1.5526845,-0.73036575,0.3920117,-0.20867057,-0.6792478,0.071508825
1.2501827,-1.8411474,-2.693628,-3.2296,-2.3427465,-1.0613911,0.5363806,0.6574296,0.48444816,0.6123377
1.1492432,-1.7501786,-3.1303139,-3.3344035,-2.0297308,-0.41273534,0.6351714,-0.23110373,-0.092101574,0.42459098
0.20190553,-1.019462,-1.8452553,-1.9546111,-1.4351987,-0.16794768,0.29987788,-0.038698755,-0.05514643,-0.012988855
0.8458049,-0.8580955,-1.7650076,-2.0039723,-1.6539795,0.10900932,0.93235874,-0.33665994,0.013652516,0.24225178
0.4438473,-0.5974321,-1.8309244,-2.2470076,-1.5373204,-0.378924,-0.018481456,-0.35844684,-0.16749454,0.7146552
0.50407,-1.5858254,-2.9113362,-2.6021671,-1.8031086,-0.32489237,0.40164796,0.23230568,-0.24209428,0.34022537
0.4079746,-1.7369908,-2.3938723,-2.0980191,-1.4673815,-0.38311487,0.34351265,-0.39256898,-0.32220635,0.12308155
0.5680515,-0.8883528,-1.5891907,-1.4170676,-0.9056348,-0.11547208,0.42054597,0.04339118,-0.046505902,0.3196102
1.0280219,-1.2708108,-2.947916,-3.029892,-2.0215394,-0.3044697,0.21248621,0.13006529,-0.035069294,0.8168286
0.8361697,-0.6384899,-2.0085711,-2.2082155,-1.3372102,-0.24047667,0.57336444,0.26986715,0.08566372,0.6845364
0.8002655,-0.5742463,-2.1275194,-2.4734282,-1.9502076,0.056315295,0.55065954,0.027509913,0.079218805,0.38197747
0.66950595,-0.6901483,-1.9456695,-2.5290675,-0.9773122,-0.08518319,-0.2796474,-0.22952603,0.12912147,0.07826688
0.71109986,-1.2113553,-2.1862555,-2.4645128,-1.654291,-0.0557167,0.5568067,-0.16441321,-0.25150657,0.41990575
1.5481195,-1.7935212,-2.9026592,-3.0711055,-1.6759868,-0.06680663,0.62294364,-0.4486003,-0.5464102,0.697209
1.0439508,-1.821751,-2.8028,-3.2047977,-2.4484706,-1.1138204,0.614526,-0.099218406,-0.1302666,0.8582295
0.7674945,-0.7025578,-1.4758502,-2.0570886,-1.2763457,-0.5325479,0.2444999,-0.06462199,0.25251666,0.77160764
0.83188635,-1.2438744,-1.880164,-2.1401749,-1.5821289,-0.3814274,0.15370165,-0.14102577,0.30528602,0.66943324
0.8721326,-1.347274,-2.1513784,-2.0064912,-1.6565143,-0.42978486,0.6529462,-0.1340815,-0.46886393,-0.044306643
0.47615477,-1.1441544,-2.0934224,-2.0289326,-2.0019717,-1.0058026,0.3173647,-0.2333202,-0.2831988,1.2439847
1.144336,-1.7503064,-3.0462136,-3.6750863,-2.291505,-0.7747629,0.34161922,-0.22404534,-0.79216504,0.6503467
0.7212015,-0.641475,-1.6679133,-1.8746612,-1.8001951,-0.23229153,0.5465423,-0.009825909,-0.6899031,-0.029263984
0.9395519,-0.9068711,-2.6434784,-2.7821388,-2.1819346,-0.61988556,0.3397037,-0.4815598,-0.65658015,0.18895556
1.3004162,-0.84971505,-2.1498697,-2.39507,-1.803405,-0.8584744,-0.2878375,-0.5176389,-0.65830517,0.26999962
0.104108624,-0.9758944,-2.1834455,-2.1290207,-1.4153185,-0.43934938,0.6874934,0.15336394,-0.058532238,0.31805864
0.88306844,-0.97888976,-1.9977902,-2.3014367,-1.8552437,-0.7593614,-0.014335906,-0.606301,-0.42833552,0.49499634
1.12761,-1.0096955,-2.7418554,-2.2848616,-1.5873268,-0.2809387,0.064791605,-0.5372294,-0.6447922,0.18099095
0.8169343,-0.7901673,-1.9854821,-2.7079902,-2.0324287,-0.44905257,0.2874463,0.0905571,-0.3731839,-0.0045726867
0.8381039,-1.7905658,-2.6956449,-3.3715057,-2.2646608,-0.4591605,0.748385,-0.41962215,-0.40193233,0.090512246
0.31574348,-0.55788374,-1.5116218,-1.5454549,-1.3242675,-0.31974852,0.46394166,-0.38169402,-0.15848708,0.35706308
0.53391373,-1.17841,-1.328337,-1.9269388,-1.4272815,-0.36874294,0.20736367,-0.46044844,-0.5233711,0.056924142
1.1408511,-1.4996566,-2.1126163,-1.9261057,-1.5455992,-0.59849125,0.31979957,0.11109767,-0.1961604,0.3432531
0.6199632,-0.44393513,-1.4983722,-1.9922673,-1.081924,-0.28054926,0.0972519,-0.5423977,-0.5974355,0.10317208
0.6652794,-1.0180141,-2.0035348,-2.6257443,-1.9247268,-0.57003325,0.3296901,-0.35543305,-0.36936307,1.1245627
0.89938223,-1.4346901,-1.83857,-2.0261865,-1.2722971,-0.5936101,0.105083786,0.034376767,0.04265658,0.50272804
0.84939396,-0.8995825,-2.357611,-3.1855526,-1.6290435,-0.50944006,0.47075745,0.01901367,0.009691306,0.7734016
0.8593869,-1.3708284,-2.836282,-2.5303898,-2.1149352,-0.48280847,0.4801763,-0.38009632,-0.58101344,0.36199787
0.86371654,-1.7161767,-2.3416374,-2.1860983,-1.1978443,-0.58007926,-0.39548954,-0.92950535,-0.36987293,0.4332566
1.4812222,-1.7690766,-2.846336,-2.8557782,-1.1659511,0.35393703,0.52377236,0.112195864,0.12182105,0.56748706
0.8868607,-0.4562516,-1.5128809,-2.4303665,-1.6451443,-0.47148848,0.29621202,-0.20755017,-0.24918887,0.8207202
0.6998293,-1.5862696,-2.721389,-2.535835,-1.6153045,-0.66307527,0.02254859,0.39732283,0.024748765,0.51117647
0.7978625,-1.164095,-1.9548693,-2.5001752,-1.1531919,-0.032676507,0.6987172,-0.13681094,-0.16157953,0.5474517
1.1606386,-1.2485197,-2.4509742,-2.8879664,-2.3133507,0.05590051,0.54432094,-0.18273197,-0.6010647,0.63923204
0.5881846,-0.727517,-2.6046853,-2.6292818,-2.4443755,-1.3245922,-0.22462398,-0.88468355,-0.86516446,0.4069906
1.0973727,-1.1591157,-2.7600806,-2.6697416,-1.3584294,-0.09472374,0.92955244,-0.089193314,0.32377976,0.9212435
1.1198745,-0.5622825,-1.4346595,-2.2386942,-1.3848243,-0.096365765,0.50388336,0.16783194,-0.39449388,0.6188224
0.52635187,-1.4256266,-2.7650595,-2.6850252,-1.6039572,-0.70613706,0.26529944,-0.222242,-0.07077468,0.1216971
0.9730177,-1.0148649,-2.7140987,-3.0194468,-1.6683182,-0.008146844,0.04603668,-0.6349557,-0.17890497,0.8075261
1.4987313,-1.308047,-2.4577372,-2.1613853,-1.5270045,-0.15568687,0.81723857,-0.47327253,0.11026415,0.33055577
0.8326496,-1.5044904,-2.3026142,-2.3643584,-1.3281214,-0.12935188,0.67186534,-0.12937748,-0.15928231,0.7219466
0.7066438,-0.5918515,-1.2923125,-1.5132537,-1.1587266,-0.04188097,0.301074,-0.2732728,-0.31171468,0.12328157
0.8417112,-1.3856556,-2.6093836,-2.388836,-1.875474,-0.5738134,0.2777744,-0.28782055,0.18745986,0.92986625
0.7405591,-0.735549,-1.9666771,-2.1543002,-1.0189759,-0.026134506,0.2445274,-0.4006846,-0.4228703,0.38694072
0.69171834,-1.4173553,-2.3361943,-2.660229,-1.2878888,-0.8614765,0.4073903,0.35075358,-0.8407528,-0.22840187
0.6199594,-1.31454,-1.7020074,-2.1895182,-1.7067809,-0.26197988,0.47765997,0.15075101,-0.08796342,0.2568663
1.4238924,-1.4290038,-2.1873362,-2.2999246,-1.0453178,0.050587248,0.78141296,0.13965113,0.67226297,0.8185592
0.9369356,-1.0051904,-1.6270877,-2.1044466,-1.550858,-0.598411,0.37057507,-0.3582392,-0.5997582,0.17670818
0.4902745,-0.77580565,-1.6435868,-2.149123,-1.1391137,-0.11798517,0.37829575,-0.12526517,-0.34283885,-0.11350736
0.47632578,-1.0858347,-1.9932795,-2.0036547,-1.139883,-0.005560897,0.8054044,-0.22040069,-0.4585735,0.051411055
0.6655488,-0.58062124,-1.6016306,-1.835475,-1.3431605,-0.7143896,0.08184804,-0.017053429,0.052612238,0.32065704
0.33423272,-1.4518185,-2.3947597,-2.7531629,-1.9839505,0.01171852,0.23326313,-0.62766397,-0.14780085,0.5893708
1.0596181,-0.7523323,-1.5309323,-2.217917,-1.0535425,0.124622196,1.0394363,-0.018811457,0.18128382,0.95556414
0.3319359,-1.5235399,-2.3772216,-2.3750696,-1.7247453,-0.82432437,0.43429336,-0.2921638,-0.0013729936,0.10341104
1.0469302,-1.1683774,-1.6970651,-1.7663792,-1.1448678,-0.011951835,0.635235,-0.0562567,-0.35096884,0.26909888
0.6082392,-0.9181951,-1.4143937,-2.0353913,-1.1551467,-0.4810923,-0.00932097,-0.36113286,-0.31494993,0.48557347
1.0160321,-1.217239,-2.917336,-2.947661,-1.693724,-0.26160046,0.54110664,-0.57660526,-0.3985378,0.72076905
0.88265204,-1.4798291,-1.9588394,-2.033162,-1.4886079,-0.04210932,0.36751038,0.21939056,-0.09361064,0.25875497
0.96258324,-1.0249636,-1.2818148,-1.5818863,-1.9395261,-0.5029439,0.62132204,0.12844105,-0.1917431,0.44736862
0.9831625,-0.97312784,-1.7182637,-2.693761,-1.8141849,-0.4645423,0.51885223,-0.3141059,-0.2918987,0.70028895
1.0578399,-1.0309489,-2.122738,-3.087663,-2.4085157,-0.2628718,0.20417519,0.45354238,-0.13520819,0.5412826
0.8986233,-0.7847655,-2.2486749,-2.517766,-1.6318666,-0.28739738,0.16888155,-0.116920285,-0.41221756,0.5813514
0.8851661,-1.1729431,-1.7262522,-2.0286088,-0.9941607,-0.43633124,0.6442121,0.18954186,-0.0253998,0.9951443
1.0431304,-1.4590489,-2.0496078,-2.4224153,-1.4322371,-0.48347598,0.4137231,0.124905,0.15241943,0.7134048
0.6704139,-0.8012524,-2.0681705,-2.4213252,-1.5931358,-0.24918362,0.32825047,0.00046030246,-0.10530306,0.8091009
1.2378128,-1.0846727,-2.4548628,-2.356787,-1.7694672,-0.3406784,0.44356653,-0.108639255,-0.11280802,0.5864825
0.7406787,-1.255044,-2.216804,-2.4747486,-1.3925658,-0.11873301,0.52473,0.107883506,0.13696438,0.28050888
0.60359925,-0.8289353,-2.0385144,-1.8282368,-1.2414285,-0.01641319,0.61478126,0.12876633,0.34732416,0.59590656
1.0382055,-0.6854932,-1.7942054,-1.7574586,-1.3708823,-0.112545714,0.574544,0.3212704,-0.12469069,0.4873433
1.0371679,-1.7334073,-2.6195514,-2.3844168,-1.9244605,-0.117303856,0.8239165,-0.17486237,-0.1441491,0.6576264
1.4000907,-0.726213,-2.0185425,-1.7616528,-1.163832,-0.23746991,0.7395998,0.025806295,-0.26851952,0.16693835
0.85010153,-0.8298244,-1.5442907,-1.3119174,-0.9008524,0.23574616,0.6391205,-0.13784944,-0.2232449,-0.15364529
1.1498566,-0.7300352,-2.067277,-2.5144358,-1.4726835,-0.4559275,0.5056368,0.21502712,0.007290168,0.60090953
0.3827115,-0.757043,-1.9324276,-1.7983285,-1.1001471,-0.769868,0.47507235,-0.16442451,-0.4379604,0.44709405
0.77452934,-1.313845,-2.0958345,-2.230085,-1.0901676,-0.41820163,0.34629416,-0.22652315,-0.33325094,0.10175193
0.7730658,-1.1950223,-2.7156105,-3.1466975,-1.9900919,-0.46697444,0.6050478,0.15269972,-0.074340224,0.2506637
0.7424229,-1.3556294,-2.53042,-2.2585664,-1.3954341,0.14991012,0.49093977,-0.23619805,-0.024101159,0.19554648
1.2031894,-2.0496364,-2.7051704,-2.977616,-2.0016515,-0.39345932,0.8022098,0.12000976,-0.034718838,0.61856747
0.7546394,-1.2549038,-2.1498997,-2.9700053,-1.7261217,-0.13555427,0.639124,-0.09039924,-0.31136718,0.9097039
0.9793238,-0.99867404,-1.3270526,-1.273733,-1.1123445,0.10430355,0.20431815,0.08512113,0.081652574,0.6576325
0.9660568,-1.4847459,-2.8736486,-2.7522018,-1.595586,-0.08374826,0.69740564,0.043462586,0.12066665,0.24008447
0.5981845,-0.83119506,-1.9817427,-2.3369265,-1.3976927,-0.516434,0.35926145,-0.22595046,-0.37330034,-0.011330274
0.99397254,-1.2848746,-2.0516021,-2.2913547,-1.4983584,-0.5035653,0.3950707,-0.11413984,-0.35238707,0.75483
0.72998464,-1.6887431,-2.889118,-2.7425227,-2.1488216,-0.6350017,0.4761274,0.011036789,-0.2612623,0.80303365
0.5438763,-1.3967624,-1.8637247,-1.8478004,-1.4346442,-0.59217614,0.022040121,-0.4676449,-0.04931792,0.27527094
0.78260696,-0.63428944,-1.9859897,-2.4548907,-1.2222505,-0.15992472,0.47719884,-0.47489893,-0.5951785,-0.014989825
1.0584008,-0.7841385,-2.096407,-1.9636772,-1.0259906,-0.13712633,1.0193917,-0.09164563,-0.6183161,0.4271659
1.0182879,-1.4541442,-2.2758257,-2.187261,-1.6799477,-0.2757943,0.42552269,-0.05249256,-0.16135518,0.4571355
1.3184366,-1.6129054,-2.043438,-2.5985045,-1.5351074,-0.18978928,0.3422218,-0.18903679,-0.0020927286,0.5673518
1.5021046,-0.8574428,-2.4538782,-2.4908235,-1.6813965,-0.485722,0.23529091,0.011227681,-0.28333166,0.38942352
0.7831347,-0.7909184,-1.814727,-2.008986,-1.5719941,-0.45093706,0.009021409,-0.5033556,-0.5834736,0.46809903
1.6821848,-1.4312748,-2.6536598,-3.1400163,-2.2781613,-0.04808868,0.7180282,-0.18360113,-0.32787764,0.31321126
0.6338325,-0.84607947,-2.374301,-2.9817219,-1.5550697,-0.13147613,0.15726769,-0.15022124,-0.35479146,0.30661064
1.0358855,-1.4459673,-2.2214851,-2.5757706,-2.0040853,-0.4852497,0.47458747,0.027632063,-0.64985645,0.38604102
1.1382797,-1.3394841,-2.4608972,-3.4460204,-2.0596068,-0.7024828,0.30318668,0.34590954,0.554168,1.1047403
1.250078,-1.3630649,-2.2283754,-2.571587,-2.4576604,0.13616386,1.0990872,0.14191245,-0.3141846,0.47229645
0.6517205,-0.7528009,-2.1015441,-2.4583106,-1.6107655,-0.17675756,0.6797882,0.056205187,0.32093915,0.8388777
1.670197,-1.3455329,-2.3912406,-2.3324158,-1.4509344,0.4515673,1.2589804,-0.11091027,-0.77870625,0.38530147
0.7600355,-1.4324294,-2.0557423,-2.3622909,-1.5523149,0.110108145,0.6675296,-0.27707124,-0.27354345,0.62791574
1.5235728,-1.8476082,-2.7704737,-2.662147,-1.6372191,-0.65967095,0.32632995,-0.13027725,-0.09713608,0.40089855
0.8442868,-1.1537946,-2.3031983,-2.2890341,-1.5849669,-0.3986443,0.3573851,0.5795696,0.121056944,0.29859322
0.68305665,-0.7741026,-1.6870617,-1.91959,-1.3377686,0.037296392,0.52567357,0.21298368,-0.21420328,0.18786749
0.9394738,-0.8435728,-2.1731832,-2.8616183,-1.554291,-0.27268466,0.8693939,0.41713217,-0.030363271,0.64481634
0.2844403,-1.4783682,-2.3537245,-2.3792768,-1.2202407,-0.12097021,0.6094945,-0.13944362,0.13949814,0.5131379
0.54685396,-0.8848333,-2.0884428,-2.4032254,-1.6471575,-0.41683087,0.48561707,0.07598241,-0.26059163,0.3596758
1.3156132,-1.2011737,-1.5103921,-2.433985,-1.2772485,0.16325526,0.33463755,-0.37442884,-0.28001052,0.86411315
0.87576425,-0.7118681,-1.9866725,-2.2768834,-1.3155526,-0.24417937,0.74709034,0.07365645,0.049493473,0.79967207
1.0129571,-1.8272865,-2.5066054,-2.651077,-1.4478079,-0.497065,0.609535,-0.12466221,0.00417933,0.38960445
0.59535336,-1.1126729,-1.3266137,-2.0153115,-1.4447565,0.15097582,0.86018056,0.15158981,-0.38100812,0.15179648
1.1370156,-0.9820789,-1.9699845,-2.4356282,-1.4687192,0.014558427,0.5256216,-0.75353616,0.093701035,0.67196697
1.0173002,-1.1224003,-1.7151455,-2.1667857,-1.3625388,0.0028730743,0.7375731,-0.36087146,-0.59330624,0.40416962
0.81896687,-0.6754171,-2.0916946,-2.3216813,-1.5480572,-0.05682609,0.5414474,-0.24995843,-0.55047154,0.9772159
0.7563717,-2.0192003,-2.7505054,-3.4071062,-2.5201547,-0.90069306,0.18070956,-0.17743412,0.55198306,1.0135807
